date,title,artist,genre,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_sec,duration_min,loudness,valence,mode,spotify_id,spotify_link,analysis_url
6/21/18,All Girls Are The Same,Juice WRLD,[u'rap'],41,49,5,41,8,0.529,0.0856,161.989,0.307,0.0769,0.000335,4,0.671,0,165.82,2.763666667,-7.226,0.203,1,0XySogm94T51XF5F2jumXm,spotify:track:0XySogm94T51XF5F2jumXm,https://api.spotify.com/v1/audio-analysis/0XySogm94T51XF5F2jumXm
6/21/18,All Mine,Kanye West,"[u'pop rap', u'rap']",11,11,2,31,-20,0.308,0.0933,122.099,0.338,0.125,0,4,0.925,11,145.507,2.425116667,-6.562,0.265,0,3qnoOm4fwZPBS116f5hpgF,spotify:track:3qnoOm4fwZPBS116f5hpgF,https://api.spotify.com/v1/audio-analysis/3qnoOm4fwZPBS116f5hpgF
6/21/18,Back To You,Selena Gomez,"[u'dance pop', u'pop', u'post-teen pop']",22,31,5,22,9,0.724,0.12,102.061,0.0486,0.0945,1.68E-06,4,0.601,6,207.905,3.465083333,-4.856,0.508,1,4hQ6UGyWQIGJmHSo0J88JW,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW
6/21/18,Be Careful,Cardi B,"[u'pop', u'rap']",11,25,11,23,2,0.568,0.0952,152.279,0.411,0.0256,0,4,0.82,6,210.787,3.513116667,-8.23,0.535,0,2Yl4OmDby9iitgNWZPwxkd,spotify:track:2Yl4OmDby9iitgNWZPwxkd,https://api.spotify.com/v1/audio-analysis/2Yl4OmDby9iitgNWZPwxkd
6/21/18,Beautiful Crazy,Luke Combs,"[u'contemporary country', u'country road']",58,77,4,93,-16,0.402,0.0928,103.313,0.0262,0.676,0,4,0.552,11,193.2,3.22,-7.431,0.382,1,4Qx06Fzsepmdz2NGSWfZck,spotify:track:4Qx06Fzsepmdz2NGSWfZck,https://api.spotify.com/v1/audio-analysis/4Qx06Fzsepmdz2NGSWfZck
6/21/18,Better Now,Post Malone,"[u'pop', u'rap']",7,34,7,20,14,0.563,0.136,145.028,0.0454,0.354,0,4,0.68,10,231.267,3.85445,-5.843,0.374,1,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK
6/21/18,Boo'd Up,Ella Mai,"[u'dance pop', u'indie r&b', u'pop', u'r&b', u'urban contemporary']",6,6,11,7,-1,0.779,0.078,81.965,0.0531,0.0862,0,4,0.561,10,256.064,4.267733333,-5.107,0.235,0,0At2qAoaVjIwWNAqrscXli,spotify:track:0At2qAoaVjIwWNAqrscXli,https://api.spotify.com/v1/audio-analysis/0At2qAoaVjIwWNAqrscXli
6/21/18,Call Out My Name,The Weeknd,"[u'canadian pop', u'pop', u'rap']",4,52,11,54,-2,0.599,0.327,134.144,0.0369,0.211,0,3,0.449,1,228.373,3.806216667,-4.892,0.165,1,4MPTj8lMMvxLwT3EwuXFop,spotify:track:4MPTj8lMMvxLwT3EwuXFop,https://api.spotify.com/v1/audio-analysis/4MPTj8lMMvxLwT3EwuXFop
6/21/18,Chun-Li,Nicki Minaj,"[u'dance pop', u'hip pop', u'pop', u'pop rap', u'rap']",10,46,10,43,3,0.766,0.107,97.092,0.384,0.307,1.38E-05,4,0.643,6,191.606,3.193433333,-4.788,0.463,0,2gTYVoQCUh0QNUaFix01ld,spotify:track:2gTYVoQCUh0QNUaFix01ld,https://api.spotify.com/v1/audio-analysis/2gTYVoQCUh0QNUaFix01ld
6/21/18,Cudi Montage,KIDS SEE GHOSTS,"[u'hip hop', u'pop', u'pop rap', u'rap']",69,0,1,69,New,0.504,0.121,110.011,0.0321,0.401,1.44E-06,4,0.729,8,197.001,3.28335,-6.784,0.305,0,4kUZvXB3LC3an3HX6h0s17,spotify:track:4kUZvXB3LC3an3HX6h0s17,https://api.spotify.com/v1/audio-analysis/4kUZvXB3LC3an3HX6h0s17
6/21/18,Delicate,Taylor Swift,"[u'dance pop', u'pop', u'post-teen pop']",25,37,14,25,12,0.404,0.0911,95.045,0.0682,0.216,0.000357,4,0.75,9,232.253,3.870883333,-10.178,0.0499,0,6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf
6/21/18,Dura,Daddy Yankee,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']",43,65,19,64,1,0.803,0.434,94.981,0.0468,0.188,0,4,0.772,1,242.16,4.036,-3.035,0.853,1,6U2NuJILEOEpW2tVCuqKHb,spotify:track:6U2NuJILEOEpW2tVCuqKHb,https://api.spotify.com/v1/audio-analysis/6U2NuJILEOEpW2tVCuqKHb
6/21/18,Esskeetit,Lil Pump,[u'trap music'],24,66,9,68,-2,0.506,0.0933,139.974,0.161,0.022,0,4,0.932,11,181.714,3.028566667,-7.755,0.696,1,44KKhCyI0BGS6LvVyDqJtH,spotify:track:44KKhCyI0BGS6LvVyDqJtH,https://api.spotify.com/v1/audio-analysis/44KKhCyI0BGS6LvVyDqJtH
6/21/18,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,unknown,66,71,8,66,5,0.423,0.0981,90.514,0.0538,0.339,0.862,4,0.743,8,227.972,3.799533333,-12.241,0.384,1,0fxT5ysInaAyEWhtykYLC2,spotify:track:0fxT5ysInaAyEWhtykYLC2,https://api.spotify.com/v1/audio-analysis/0fxT5ysInaAyEWhtykYLC2
6/21/18,Fake Love,BTS,[u'k-pop'],10,48,4,71,-23,0.719,0.306,77.501,0.0372,0.00267,0,4,0.557,2,242.334,4.0389,-4.515,0.344,0,3aW0ds4A4tSQDIp75FqWTo,spotify:track:3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/audio-analysis/3aW0ds4A4tSQDIp75FqWTo
6/21/18,Feel The Love,KIDS SEE GHOSTS,"[u'hip hop', u'pop', u'pop rap', u'rap']",47,0,1,47,New,0.469,0.099,110.573,0.104,0.126,7.32E-05,4,0.58,0,165.053,2.750883333,-5.946,0.369,0,3aUFrxO1B8EW63QchEl3wX,spotify:track:3aUFrxO1B8EW63QchEl3wX,https://api.spotify.com/v1/audio-analysis/3aUFrxO1B8EW63QchEl3wX
6/21/18,Fire,KIDS SEE GHOSTS,"[u'hip hop', u'pop', u'pop rap', u'rap']",67,0,1,67,New,0.751,0.182,104.999,0.16,0.472,4.71E-06,4,0.709,6,140.527,2.342116667,-3.801,0.37,1,7oHkit3F3vimtsBbnZkU0G,spotify:track:7oHkit3F3vimtsBbnZkU0G,https://api.spotify.com/v1/audio-analysis/7oHkit3F3vimtsBbnZkU0G
6/21/18,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,"[u'hip hop', u'pop', u'pop rap', u'rap']",62,0,1,62,New,0.81,0.158,151.643,0.0632,0.00457,0,4,0.334,9,206.605,3.443416667,-4.855,0.306,0,7GRTrWsP3yo2Fx8umJfA1X,spotify:track:7GRTrWsP3yo2Fx8umJfA1X,https://api.spotify.com/v1/audio-analysis/7GRTrWsP3yo2Fx8umJfA1X
6/21/18,Friends,Marshmello & Anne-Marie,unknown,11,14,18,13,1,0.88,0.128,95.079,0.0504,0.205,0,4,0.626,9,202.621,3.377016667,-2.384,0.534,0,08bNPGLD8AhKpnnERrAc6G,spotify:track:08bNPGLD8AhKpnnERrAc6G,https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G
6/21/18,Get Along,Kenny Chesney,"[u'contemporary country', u'country', u'country road']",48,56,10,48,8,0.805,0.172,92.401,0.0473,0.0997,0,4,0.602,7,199.627,3.327116667,-6.079,0.322,1,2ZFrEp20VO25BXYhMxh0GW,spotify:track:2ZFrEp20VO25BXYhMxh0GW,https://api.spotify.com/v1/audio-analysis/2ZFrEp20VO25BXYhMxh0GW
6/21/18,God's Plan,Drake,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",1,5,21,4,1,0.449,0.552,77.169,0.109,0.0332,8.29E-05,4,0.754,7,198.973,3.316216667,-9.211,0.357,1,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn
6/21/18,Heaven,Kane Brown,"[u'contemporary country', u'country road']",15,30,25,26,4,0.556,0.105,80.009,0.0306,0.263,0,4,0.677,9,179.507,2.991783333,-6.544,0.521,1,1HXy5I3HTWq8OvxCn0z7G7,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7
6/21/18,I Like It,"Cardi B, Bad Bunny & J Balvin",unknown,3,3,10,3,0,0.691,0.115,136.005,0.137,0.107,0,4,0.872,5,255.373,4.256216667,-6.603,0.77,0,3WqlVthQsYOCwcRXh35uL0,spotify:track:3WqlVthQsYOCwcRXh35uL0,https://api.spotify.com/v1/audio-analysis/3WqlVthQsYOCwcRXh35uL0
6/21/18,I Like Me Better,Lauv,"[u'electropop', u'pop']",46,53,18,46,7,0.505,0.104,91.97,0.253,0.535,2.55E-06,4,0.752,9,197.437,3.290616667,-7.621,0.419,1,1wjzFQodRWrPcQ0AnYnvQ9,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9
6/21/18,I Lived It,Blake Shelton,"[u'contemporary country', u'country', u'country road', u'modern country rock']",64,76,15,76,0,0.571,0.101,80.981,0.0281,0.476,0.00114,4,0.557,10,219.6,3.66,-8.106,0.392,1,5slddJ629YcePvqD6Uyk8r,spotify:track:5slddJ629YcePvqD6Uyk8r,https://api.spotify.com/v1/audio-analysis/5slddJ629YcePvqD6Uyk8r
6/21/18,I Was Jack (You Were Diane),Jake Owen,"[u'contemporary country', u'country', u'country road', u'modern country rock']",86,86,3,86,0,0.878,0.0505,94.014,0.0452,0.0875,0,4,0.612,6,188.013,3.13355,-3.556,0.599,1,0L1ZDS8joLUUwUeqWZsEg6,spotify:track:0L1ZDS8joLUUwUeqWZsEg6,https://api.spotify.com/v1/audio-analysis/0L1ZDS8joLUUwUeqWZsEg6
6/21/18,I'm Upset,Drake,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",19,32,3,28,4,0.592,0.0831,149.953,0.333,0.263,0,4,0.899,11,214.139,3.568983333,-7.901,0.504,0,54oMZ3blwWwuPN4wEoG5mk,spotify:track:54oMZ3blwWwuPN4wEoG5mk,https://api.spotify.com/v1/audio-analysis/54oMZ3blwWwuPN4wEoG5mk
6/21/18,IDGAF,Dua Lipa,[u'pop'],49,54,22,51,3,0.544,0.0824,97.028,0.0943,0.0403,0,4,0.836,7,217.947,3.63245,-5.975,0.51,1,76cy1WJvNGJTj78UqeA5zr,spotify:track:76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr
6/21/18,In My Blood,Shawn Mendes,"[u'canadian pop', u'pop', u'viral pop']",11,20,13,16,4,0.711,0.125,139.967,0.0706,0.0544,0,4,0.618,5,211.36,3.522666667,-7.248,0.488,1,21YnmkSDhUkmkkni22Svc4,spotify:track:21YnmkSDhUkmkkni22Svc4,https://api.spotify.com/v1/audio-analysis/21YnmkSDhUkmkkni22Svc4
6/21/18,Japan,Famous Dex,"[u'drill', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop']",28,68,12,72,-4,0.678,0.344,175.985,0.438,0.121,0,4,0.733,6,142,2.366666667,-7.771,0.841,1,5PTG6rrL6EPFD9E2QMI2pl,spotify:track:5PTG6rrL6EPFD9E2QMI2pl,https://api.spotify.com/v1/audio-analysis/5PTG6rrL6EPFD9E2QMI2pl
6/21/18,KIDS SEE GHOSTS,KIDS SEE GHOSTS,"[u'hip hop', u'pop', u'pop rap', u'rap']",73,0,1,73,New,0.597,0.195,100.051,0.037,0.339,0.0404,4,0.585,0,324.674,5.411233333,-7.499,0.227,1,4RVbK6cV0VqWdpCDcx3hiT,spotify:track:4RVbK6cV0VqWdpCDcx3hiT,https://api.spotify.com/v1/audio-analysis/4RVbK6cV0VqWdpCDcx3hiT
6/21/18,KOD,J. Cole,"[u'conscious hip hop', u'pop', u'pop rap', u'rap']",10,60,8,65,-5,0.782,0.113,141.869,0.15,0.21,0,4,0.831,0,191.437,3.190616667,-6.274,0.199,1,7yotKA30dwTKNEGomV9ZsI,spotify:track:7yotKA30dwTKNEGomV9ZsI,https://api.spotify.com/v1/audio-analysis/7yotKA30dwTKNEGomV9ZsI
6/21/18,Lose It,Kane Brown,"[u'contemporary country', u'country road']",84,0,1,84,New,0.869,0.29,91.988,0.0289,0.00261,1.77E-06,4,0.549,4,178.733,2.978883333,-4.905,0.433,0,6GBndDk0OEpDkmKoSBJyyK,spotify:track:6GBndDk0OEpDkmKoSBJyyK,https://api.spotify.com/v1/audio-analysis/6GBndDk0OEpDkmKoSBJyyK
6/21/18,Love Lies,Khalid & Normani,unknown,34,42,17,34,8,0.592,0.111,143.954,0.0615,0.519,0,4,0.731,6,198.342,3.3057,-8.588,0.427,1,5rjIw1mQUKwhcxzM4ciWez,spotify:track:5rjIw1mQUKwhcxzM4ciWez,https://api.spotify.com/v1/audio-analysis/5rjIw1mQUKwhcxzM4ciWez
6/21/18,Lovely,Billie Eilish & Khalid,unknown,78,79,3,78,1,0.144,0.128,114.006,0.0438,0.985,0.923,4,0.624,4,207.554,3.459233333,-14.087,0.13,0,2QGDYdgYv03I1oLav9OHHs,spotify:track:2QGDYdgYv03I1oLav9OHHs,https://api.spotify.com/v1/audio-analysis/2QGDYdgYv03I1oLav9OHHs
6/21/18,Lucid Dreams,Juice WRLD,[u'rap'],6,9,5,6,3,0.566,0.34,83.903,0.2,0.349,0,4,0.511,6,239.836,3.997266667,-7.23,0.218,0,0s3nnoMeVWz3989MkNQiRf,spotify:track:0s3nnoMeVWz3989MkNQiRf,https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf
6/21/18,Meant To Be,Bebe Rexha & Florida Georgia Line,unknown,2,12,34,10,2,0.668,0.219,153.953,0.0851,0.161,0,4,0.671,10,163.553,2.725883333,-7.086,0.487,1,3lFf4DnT68QjQGB3iq1BJ9,spotify:track:3lFf4DnT68QjQGB3iq1BJ9,https://api.spotify.com/v1/audio-analysis/3lFf4DnT68QjQGB3iq1BJ9
6/21/18,Mercy,Brett Young,[u'contemporary country'],63,74,6,63,11,0.367,0.0999,71.957,0.0266,0.84,0,4,0.638,4,217.12,3.618666667,-7.906,0.219,1,2VIPU72L6tIR4w8J8ap6Kp,spotify:track:2VIPU72L6tIR4w8J8ap6Kp,https://api.spotify.com/v1/audio-analysis/2VIPU72L6tIR4w8J8ap6Kp
6/21/18,Mine,Bazzi,"[u'pop', u'post-teen pop']",11,23,21,15,8,0.789,0.451,142.929,0.0722,0.0161,2.77E-06,4,0.71,4,131.064,2.1844,-3.874,0.717,1,7uzmGiiJyRfuViKKK3lVmR,spotify:track:7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR
6/21/18,Never Be The Same,Camila Cabello,"[u'dance pop', u'pop', u'post-teen pop']",6,18,26,19,-1,0.713,0.137,129.923,0.0747,0.181,0.000637,4,0.637,0,226.973,3.782883333,-4.333,0.243,1,4eWQlBRaTjPPUlzacqEeoQ,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ
6/21/18,New Rules,Dua Lipa,[u'pop'],6,40,46,35,5,0.7,0.153,116.073,0.0694,0.00261,1.56E-05,4,0.762,9,209.32,3.488666667,-6.021,0.608,0,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0
6/21/18,Nice For What,Drake,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",1,2,10,1,1,0.913,0.114,93.35,0.0736,0.0934,0.000124,4,0.567,8,210.926,3.515433333,-6.471,0.792,1,1cTZMwcBJT0Ka3UJPXOeeN,spotify:track:1cTZMwcBJT0Ka3UJPXOeeN,https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN
6/21/18,No Tears Left To Cry,Ariana Grande,"[u'dance pop', u'pop', u'post-teen pop']",3,13,8,9,4,0.696,0.274,121.969,0.0529,0.0375,5.65E-06,4,0.703,0,205.947,3.43245,-5.482,0.366,1,5SxkdsY1ufZzoq9iXceLw9,spotify:track:5SxkdsY1ufZzoq9iXceLw9,https://api.spotify.com/v1/audio-analysis/5SxkdsY1ufZzoq9iXceLw9
6/21/18,One Kiss,Calvin Harris & Dua Lipa,unknown,30,38,10,30,8,0.862,0.0814,123.994,0.11,0.037,2.19E-05,4,0.791,9,214.847,3.580783333,-3.24,0.592,0,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6
6/21/18,One Number Away,Luke Combs,"[u'contemporary country', u'country road']",34,45,13,45,0,0.781,0.191,144.075,0.0311,0.00585,0,4,0.544,6,221.8,3.696666667,-6.16,0.527,0,4gB7HrYHbJVJ5RFOjxmoq4,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,https://api.spotify.com/v1/audio-analysis/4gB7HrYHbJVJ5RFOjxmoq4
6/21/18,OTW,"Khalid, Ty Dolla $ign & 6LACK",unknown,57,80,8,81,-1,0.485,0.28,73.717,0.0577,0.328,0.918,4,0.629,4,266.036,4.433933333,-11.835,0.208,0,5K7SWeDcY4qL0KxaQxhZhk,spotify:track:5K7SWeDcY4qL0KxaQxhZhk,https://api.spotify.com/v1/audio-analysis/5K7SWeDcY4qL0KxaQxhZhk
6/21/18,Overdose,YoungBoy Never Broke Again,[u'trap music'],42,72,7,77,-5,0.845,0.638,90.015,0.352,0.224,0,4,0.809,10,176.99,2.949833333,-5.843,0.67,0,3A1BaBGT3HgzuDrV9pgX9v,spotify:track:3A1BaBGT3HgzuDrV9pgX9v,https://api.spotify.com/v1/audio-analysis/3A1BaBGT3HgzuDrV9pgX9v
6/21/18,Perfect,Ed Sheeran,[u'pop'],1,21,42,17,4,0.299,0.123,94.992,0.0263,0.779,0,3,0.587,8,259.55,4.325833333,-7.365,0.356,1,1bhUWB0zJMIKr9yVPrkEuI,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI
6/21/18,Plug Walk,Rich The Kid,"[u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",13,35,18,33,2,0.587,0.118,94.978,0.262,0.15,0,4,0.923,11,276.659,4.610983333,-6.401,0.27,1,1vnsGFNWNANWMg0CAeMkl2,spotify:track:1vnsGFNWNANWMg0CAeMkl2,https://api.spotify.com/v1/audio-analysis/1vnsGFNWNANWMg0CAeMkl2
6/21/18,Powerglide,Rae Sremmurd & Juicy J,unknown,28,67,15,75,-8,0.63,0.138,174.046,0.0893,0.05,0.00031,4,0.704,11,333.871,5.564516667,-10.521,0.476,0,13vSGK2w8K27Kv7dxRJrZH,spotify:track:13vSGK2w8K27Kv7dxRJrZH,https://api.spotify.com/v1/audio-analysis/13vSGK2w8K27Kv7dxRJrZH
6/21/18,Pray For Me,The Weeknd & Kendrick Lamar,unknown,7,44,19,44,0,0.677,0.111,100.584,0.093,0.0762,2.17E-05,4,0.735,2,211.44,3.524,-4.979,0.188,1,77UjLW8j5UAGAGVGhR5oUK,spotify:track:77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/audio-analysis/77UjLW8j5UAGAGVGhR5oUK
6/21/18,Reborn,KIDS SEE GHOSTS,"[u'hip hop', u'pop', u'pop rap', u'rap']",39,0,1,39,Hot Shot Debut,0.597,0.195,100.051,0.037,0.339,0.0404,4,0.585,0,324.674,5.411233333,-7.499,0.227,1,4RVbK6cV0VqWdpCDcx3hiT,spotify:track:4RVbK6cV0VqWdpCDcx3hiT,https://api.spotify.com/v1/audio-analysis/4RVbK6cV0VqWdpCDcx3hiT
6/21/18,Sad!,XXXTENTACION,[],7,51,15,52,-1,0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166.606,2.776766667,-4.88,0.473,1,3ee8Jmje8o58CHK66QrVC2,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2
6/21/18,Simple,Florida Georgia Line,"[u'contemporary country', u'country road', u'modern country rock']",55,55,2,57,-2,0.889,0.136,199.669,0.0991,0.0848,0,4,0.375,3,185.2,3.086666667,-3.704,0.881,1,4P92FrvmYQSAfOpp4cpFEi,spotify:track:4P92FrvmYQSAfOpp4cpFEi,https://api.spotify.com/v1/audio-analysis/4P92FrvmYQSAfOpp4cpFEi
6/21/18,Sin Pijama,Becky G + Natti Natasha,unknown,94,99,2,94,5,0.745,0.104,94.014,0.0464,0.354,2.93E-05,4,0.791,11,188.56,3.142666667,-3.695,0.82,0,2ijef6ni2amuunRoKTlgww,spotify:track:2ijef6ni2amuunRoKTlgww,https://api.spotify.com/v1/audio-analysis/2ijef6ni2amuunRoKTlgww
6/21/18,Singles You Up,Jordan Davis,"[u'contemporary country', u'country road']",50,95,19,98,-3,0.907,0.242,199.943,0.0481,0.0491,0,4,0.491,7,182.667,3.04445,-3.594,0.631,1,4LiMQ6G9n84rDUBs9wtwz6,spotify:track:4LiMQ6G9n84rDUBs9wtwz6,https://api.spotify.com/v1/audio-analysis/4LiMQ6G9n84rDUBs9wtwz6
6/21/18,Sit Next To Me,Foster The People,"[u'indie pop', u'indietronica', u'la indie', u'modern rock']",56,64,13,56,8,0.738,0.689,97.021,0.0292,0.117,0.000384,4,0.638,6,243.147,4.05245,-4.976,0.657,0,4BdGO1CaObRD4La9l5Zanz,spotify:track:4BdGO1CaObRD4La9l5Zanz,https://api.spotify.com/v1/audio-analysis/4BdGO1CaObRD4La9l5Zanz
6/21/18,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",unknown,36,43,8,36,7,0.419,0.0788,97.007,0.104,0.0326,0.908,4,0.756,11,417.399,6.95665,-10.781,0.0359,0,3ZVP5E3X40FWqtojhWX9dn,spotify:track:3ZVP5E3X40FWqtojhWX9dn,https://api.spotify.com/v1/audio-analysis/3ZVP5E3X40FWqtojhWX9dn
6/21/18,Tequila,Dan + Shay,[u'contemporary country'],32,41,14,32,9,0.594,0.133,86.131,0.0289,0.0292,0,4,0.474,11,195.987,3.26645,-5.756,0.503,1,7Il2yWQmsqKgSkLQvHTPUI,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,https://api.spotify.com/v1/audio-analysis/7Il2yWQmsqKgSkLQvHTPUI
6/21/18,The Middle,"Zedd, Maren Morris & Grey",unknown,5,10,20,8,2,0.657,0.112,107.01,0.0449,0.171,0,4,0.753,7,184.732,3.078866667,-3.061,0.437,1,09IStsImFySgyp0pIQdqAc,spotify:track:09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc
6/21/18,This Is America,Childish Gambino,"[u'hip hop', u'pop rap', u'rap']",1,7,6,12,-5,0.463,0.354,120.024,0.137,0.117,0,4,0.854,5,225.773,3.762883333,-6.159,0.549,1,0b9oOr2ZgvyQu88wzixux9,spotify:track:0b9oOr2ZgvyQu88wzixux9,https://api.spotify.com/v1/audio-analysis/0b9oOr2ZgvyQu88wzixux9
6/21/18,Violent Crimes,Kanye West,"[u'pop rap', u'rap']",27,27,2,85,-58,0.417,0.186,110.111,0.524,0.374,0,4,0.665,1,215.32,3.588666667,-6.731,0.04,0,2VYb3Fb5iK5Y8HGZ8oEEkp,spotify:track:2VYb3Fb5iK5Y8HGZ8oEEkp,https://api.spotify.com/v1/audio-analysis/2VYb3Fb5iK5Y8HGZ8oEEkp
6/21/18,Wait,Maroon 5,[u'pop'],24,26,22,29,-3,0.603,0.107,126.088,0.0555,0.0959,0,4,0.655,8,190.643,3.177383333,-5.014,0.452,1,6AvfZXpbb6r35DfF7gHPRq,spotify:track:6AvfZXpbb6r35DfF7gHPRq,https://api.spotify.com/v1/audio-analysis/6AvfZXpbb6r35DfF7gHPRq
6/21/18,Whatever It Takes,Imagine Dragons,"[u'modern rock', u'vegas indie']",12,22,20,21,1,0.655,0.117,134.945,0.0311,0.0362,0,4,0.672,10,201.24,3.354,-5.021,0.556,0,6Qn5zhYkTa37e91HC1D7lb,spotify:track:6Qn5zhYkTa37e91HC1D7lb,https://api.spotify.com/v1/audio-analysis/6Qn5zhYkTa37e91HC1D7lb
6/21/18,"Woman, Amen",Dierks Bentley,"[u'contemporary country', u'country', u'country road']",53,69,10,53,16,0.772,0.214,119.909,0.0593,0.00101,1.95E-05,4,0.563,5,180.243,3.00405,-6.737,0.394,1,4YX7OBp0yoMwC6eZNNg5ky,spotify:track:4YX7OBp0yoMwC6eZNNg5ky,https://api.spotify.com/v1/audio-analysis/4YX7OBp0yoMwC6eZNNg5ky
6/21/18,X,Nicky Jam x J Balvin,unknown,41,57,15,58,-1,0.773,0.334,180.073,0.0549,0.0364,0.00108,4,0.595,9,173.628,2.8938,-4.736,0.711,0,39N9RPD9MRb5WmoLzNzPeA,spotify:track:39N9RPD9MRb5WmoLzNzPeA,https://api.spotify.com/v1/audio-analysis/39N9RPD9MRb5WmoLzNzPeA
6/21/18,Yes Indeed,Lil Baby & Drake,unknown,6,15,5,11,4,0.243,0.126,120.995,0.0934,0.383,0.897,4,0.801,6,141.926,2.365433333,-15.05,0.446,1,2VEzKLkW5LRxx5z8iJhW8i,spotify:track:2VEzKLkW5LRxx5z8iJhW8i,https://api.spotify.com/v1/audio-analysis/2VEzKLkW5LRxx5z8iJhW8i
6/21/18,Yikes,Kanye West,"[u'pop rap', u'rap']",8,8,2,40,-32,0.777,0.228,173.931,0.357,0.145,0,4,0.676,1,188.773,3.146216667,-3.241,0.226,0,2r4JRwcbIeuAzWjH4YXlLs,spotify:track:2r4JRwcbIeuAzWjH4YXlLs,https://api.spotify.com/v1/audio-analysis/2r4JRwcbIeuAzWjH4YXlLs
6/21/18,You Make It Easy,Jason Aldean,"[u'contemporary country', u'country', u'country road']",28,62,20,61,1,0.574,0.11,132.025,0.0315,0.143,0,3,0.375,7,196.8,3.28,-5.305,0.406,1,2ZxTjs4EdJl4Y9YByIiNoo,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,https://api.spotify.com/v1/audio-analysis/2ZxTjs4EdJl4Y9YByIiNoo
6/21/18,Youngblood,5 Seconds Of Summer,"[u'boy band', u'pop', u'post-teen pop']",79,96,2,79,17,0.854,0.124,120.274,0.463,0.0169,0,4,0.596,7,203.418,3.3903,-5.114,0.152,0,55S2PQgSMYAhgoTCcGCDfw,spotify:track:55S2PQgSMYAhgoTCcGCDfw,https://api.spotify.com/v1/audio-analysis/55S2PQgSMYAhgoTCcGCDfw
